Client designation,Portfolio number,Portfolio,Position,Booking text,Currency,Amount,Quantity,Execution price,Valor number,ISIN,Transaction date,Booking date,Value date,Order no.,Order type,Asset Type
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198992698  
Buy
1,590.00 units 
R Watkin Jones
(31874948)
",GBP,506.42,"1,590.00",0.3185,31874948,GB00BD6RF223,25.02.2026,26.02.2026,27.02.2026,198992698,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198999666  
Buy
200,000.00 units 
R Watkin Jones
(31874948)
",GBP,"65,200.00","200,000.00",0.326,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198999666,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198999585  
Buy
200,000.00 units 
R Watkin Jones
(31874948)
",GBP,"65,200.00","200,000.00",0.326,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198999585,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198999453  
Buy
200,000.00 units 
R Watkin Jones
(31874948)
",GBP,"65,200.00","200,000.00",0.326,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198999453,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198999206  
Buy
200,000.00 units 
R Watkin Jones
(31874948)
",GBP,"65,200.00","200,000.00",0.326,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198999206,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198999159  
Buy
200,000.00 units 
R Watkin Jones
(31874948)
",GBP,"65,321.48","200,000.00",0.32661,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198999159,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198998832  
Buy
50,000.00 units 
R Watkin Jones
(31874948)
",GBP,"16,300.01","50,000.00",0.326,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198998832,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198998599  
Buy
50,000.00 units 
R Watkin Jones
(31874948)
",GBP,"16,295.00","50,000.00",0.3259,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198998599,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198998122  
Buy
50,000.00 units 
R Watkin Jones
(31874948)
",GBP,"16,184.23","50,000.00",0.32368,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198998122,Buy,Equities
Fulcrum Global Investment Management (Hong Kong) Limited,8009265.008,"8009265.008
Client portfolio USD Fulcrum Global Investment Management (Hong Kong) Limited","Watkin Jones PLC
Registered-shares","Order 198993928  
Buy
50,000.00 units 
R Watkin Jones
(31874948)
",GBP,"16,281.12","50,000.00",0.32562,31874948,GB00BD6RF223,25.02.2026,25.02.2026,27.02.2026,198993928,Buy,Equities
