Action,Portfolio,Broker & acct,Asset class,Ticker / ISIN / Reference,Security name,Currency,Trade date, Executed unit price , Executed quantity ,Transaction cost
Buy,FGI,,,Cash - USD,Cash - USD,USD,28/8/2023, -   , 1 ,0
Buy,FGI,,,Cash - HKD,Cash - HKD,HKD,28/8/2023, -   , 1 ,0
Buy,FGI,,,Cash - CNY,Cash - CNY,CNY,28/8/2023, 21.27 , 1 ,0
Buy,FGI,,,Cash - THB,Cash - THB,THB,28/8/2023, -   , 1 ,0
Buy,FGI,,,Cash - GBP,Cash - GBP,GBP,28/8/2023, 0.99 , 1 ,0
Buy,FGI,,,Deposit HKD,Deposit HKD,HKD,28/8/2023," 1,724,790.00 ", 1 ,0
Buy,FGI,,,Deposit USD,Deposit USD,USD,28/8/2023," 623,536.00 ", 1 ,0
Buy,FGI,,,"Other cash in FGI (HS, BOC etc)","Other cash in FGI (HS, BOC etc)",USD,28/8/2023," 997,755.00 ", 1 ,0
Buy,FGI,,,941 HK EQUITY,CHINA MOBILE LTD-H,HKD,28/8/2023, 49.83 ," 70,000 ",0
Buy,FGI,,,700 HK EQUITY,TENCENT HOLDINGS LTD,HKD,28/8/2023, 362.38 ," 19,900 ",0
Buy,FGI,,,960 HK EQUITY,LONGFOR GROUP HOLDINGS LTD,HKD,28/8/2023, 22.83 ," 209,000 ",0
Buy,FGI,,,1299 HK EQUITY,AIA GROUP LTD,HKD,28/8/2023, 82.23 ," 62,000 ",0
Buy,FGI,,,3968 HK EQUITY,CHINA MERCHANTS BANK-H,HKD,28/8/2023, 44.44 ," 40,000 ",0
Buy,FGI,,,1398 HK EQUITY,IND & COMM BK OF CHINA-H,HKD,28/8/2023, 4.45 ," 609,000 ",0
Buy,FGI,,,1 HK EQUITY,CK HUTCHISON HOLDINGS LTD,HKD,28/8/2023, 47.65 ," 30,000 ",0
Buy,FGI,,,883 HK EQUITY,CNOOC LTD-H,HKD,28/8/2023, 11.86 ," 360,000 ",0
Buy,FGI,,,813 HK EQUITY,SHIMAO GROUP HOLDINGS LTD,HKD,28/8/2023, 10.86 ," 1,071,000 ",0
Buy,FGI,,,914 HK EQUITY,ANHUI CONCH CEMENT CO LTD-H,HKD,28/8/2023, 35.79 ," 66,500 ",0
Buy,FGI,,,1857 HK EQUITY,CHINA EVERBRIGHT WATER LTD,HKD,28/8/2023, 1.91 ," 916,000 ",0
Buy,FGI,,,688 HK EQUITY,CHINA OVERSEAS LAND & INVEST,HKD,28/8/2023, 17.65 ," 133,296 ",0
Buy,FGI,,,2388 HK EQUITY,BOC HONG KONG HOLDINGS LTD,HKD,28/8/2023, 25.30 ," 68,300 ",0
Buy,FGI,,,1109 HK EQUITY,CHINA RESOURCES LAND LTD,HKD,28/8/2023, 36.28 ," 37,000 ",0
Buy,FGI,,,2318 HK EQUITY,PING AN INSURANCE GROUP CO-H,HKD,28/8/2023, 56.62 ," 20,000 ",0
Buy,FGI,,,27 HK EQUITY,GALAXY ENTERTAINMENT GROUP L,HKD,28/8/2023, 53.87 ," 30,000 ",0
Buy,FGI,,,3800 HK EQUITY,GCL TECHNOLOGY HOLDINGS LTD,HKD,28/8/2023, 1.98 ," 300,000 ",0
Buy,FGI,,,857 HK EQUITY,PETROCHINA CO LTD-H,HKD,28/8/2023, 5.22 ," 190,000 ",0
Buy,FGI,,,1088 HK EQUITY,CHINA SHENHUA ENERGY CO-H,HKD,28/8/2023, 26.92 ," 38,000 ",0
Buy,FGI,,,1919 HK EQUITY,COSCO SHIPPING HOLDINGS CO-H,HKD,28/8/2023, 8.95 ," 110,000 ",0
Buy,FGI,,,1800 HK EQUITY,CHINA COMMUNICATIONS CONST-H,HKD,28/8/2023, 4.50 ," 210,000 ",0
Buy,FGI,,,1099 HK EQUITY,SINOPHARM GROUP CO-H,HKD,28/8/2023, 26.52 ," 36,000 ",0
Buy,FGI,,,NOBLE TB EQUITY,NOBLE DEVELOPMENT PCL,THB,28/8/2023, 4.97 ," 5,591,500 ",0
Buy,FGI,,,PROUD TB EQUITY,PROUD REAL ESTATE PCL,THB,28/8/2023, 1.75 ," 49,140,116 ",0
Buy,FGI,,,7200 HK EQUITY,CSOP HANG SENG  INDEX  DAI-H,HKD,28/8/2023, 4.29 ," 550,000 ",0
Buy,Sinowell,,,Cash - CHF,Cash - CHF,CHF,28/8/2023," 1,584.38 ", 1 ,0
Buy,Sinowell,,,Cash - THB,Cash - THB,THB,28/8/2023, -   , 1 ,0
Buy,Sinowell,,,Cash - CNY,Cash - CNY,CNY,28/8/2023," 450,505.76 ", 1 ,0
Buy,Sinowell,,,Cash - EUR,Cash - EUR,EUR,28/8/2023," 66,409.33 ", 1 ,0
Buy,Sinowell,,,Cash - HKD,Cash - HKD,HKD,28/8/2023," 1,159,230.20 ", 1 ,0
Buy,Sinowell,,,Cash - SGD,Cash - SGD,SGD,28/8/2023," 42,155.20 ", 1 ,0
Buy,Sinowell,,,Cash - USD,Cash - USD,USD,28/8/2023," 20,561.77 ", 1 ,0
Buy,Sinowell,,,Deposit USD,Deposit USD,USD,28/8/2023," 298,382.00 ", 1 ,0
Buy,Sinowell,,,1 HK EQUITY,CK HUTCHISON HOLDINGS LTD,HKD,28/8/2023, 53.02 ," 35,000 ",0
Buy,Sinowell,,,941 HK EQUITY,CHINA MOBILE LTD-H,HKD,28/8/2023, 49.77 ," 71,500 ",0
Buy,Sinowell,,,700 HK EQUITY,TENCENT HOLDINGS LTD,HKD,28/8/2023, 301.95 ," 17,900 ",0
Buy,Sinowell,,,960 HK EQUITY,LONGFOR GROUP HOLDINGS LTD,HKD,28/8/2023, 23.53 ," 198,300 ",0
Buy,Sinowell,,,1299 HK EQUITY,AIA GROUP LTD,HKD,28/8/2023, 82.43 ," 68,000 ",0
Buy,Sinowell,,,3968 HK EQUITY,CHINA MERCHANTS BANK-H,HKD,28/8/2023, 44.69 ," 40,000 ",0
Buy,Sinowell,,,883 HK EQUITY,CNOOC LTD-H,HKD,28/8/2023, 11.83 ," 290,000 ",0
Buy,Sinowell,,,388 HK EQUITY,HONG KONG EXCHANGES & CLEAR,HKD,28/8/2023, 385.02 ," 5,000 ",0
Buy,Sinowell,,,813 HK EQUITY,SHIMAO GROUP HOLDINGS LTD,HKD,28/8/2023, 16.89 ," 358,000 ",0
