date,entry_date,Portfolio,Asset class,Ticker / ISIN / Reference,Security name,Currency,Yahoo Ticker,symbol,isin,name,quantity,avg_cost,cost_basis,realized_pnl
2025-01-01,2025-01-01,FGI,Equities,5 HK EQUITY,,HKD,0005.HK,0005.HK,,0005.HK,21200.0,75.7,1604840.0,0.0
2025-01-01,2025-01-01,FGI,Equities,388 HK EQUITY,,HKD,0388.HK,0388.HK,,0388.HK,6172.0,287.0,1771364.0,0.0
2025-01-01,2025-01-01,FGI,Equities,700 HK EQUITY,,HKD,0700.HK,0700.HK,,0700.HK,6428.0,416.0,2674048.0,0.0
2025-01-01,2025-01-01,FGI,Equities,728 HK EQUITY,,HKD,0728.HK,0728.HK,,0728.HK,230000.0,4.71,1083300.0,0.0
2025-01-01,2025-01-01,FGI,Equities,857 HK EQUITY,,HKD,0857.HK,0857.HK,,0857.HK,150000.0,6.03,904500.0,0.0
2025-01-01,2025-01-01,FGI,Equities,941 HK EQUITY,,HKD,0941.HK,0941.HK,,0941.HK,71000.0,75.6,5367600.0,0.0
2025-01-01,2025-01-01,FGI,Equities,2800 HK EQUITY,,HKD,2800.HK,2800.HK,,2800.HK,49338.0,19.78,975905.64,0.0
2025-01-01,2025-01-01,FGI,Equities,3188 HK EQUITY,,HKD,3188.HK,3188.HK,,3188.HK,20000.0,41.92,838400.0,0.0
2025-01-01,2025-01-01,FGI,Equities,9988 HK EQUITY,,HKD,9988.HK,9988.HK,,9988.HK,22146.0,81.3,1800469.8,0.0
2025-01-02,2025-01-01,FGI,Equities,5 HK EQUITY,,HKD,0005.HK,0005.HK,,0005.HK,21200.0,75.7,1604840.0,0.0
2025-01-02,2025-01-01,FGI,Equities,388 HK EQUITY,,HKD,0388.HK,0388.HK,,0388.HK,6172.0,287.0,1771364.0,0.0
2025-01-02,2025-01-01,FGI,Equities,700 HK EQUITY,,HKD,0700.HK,0700.HK,,0700.HK,6428.0,416.0,2674048.0,0.0
