symbol,isin,name,Portfolio,Asset class,Ticker / ISIN / Reference,Security name,Currency,Yahoo Ticker,entry_date,exit_date,total_realized_pnl
3188.HK,,CHINAAMC ETF SERIES - CH-HKD,FGI,Equities,3188 HK Equity,CHINAAMC ETF SERIES - CH-HKD,HKD,3188.HK,2025-01-01,2025-02-10,18400.0
2800.HK,,TRACKER FUND OF HONG KONG-B,FGI,Equities,2800 HK Equity,TRACKER FUND OF HONG KONG-B,HKD,2800.HK,2025-01-01,2025-02-12,101636.28
0001.HK,,CK HUTCHISON HOLDINGS LTD,FGI,Equities,1 HK Equity,CK HUTCHISON HOLDINGS LTD,HKD,0001.HK,2025-02-28,2025-03-05,294000.0
0001.HK,,CK HUTCHISON HOLDINGS LTD,Personal,Equities,1 HK EQUITY,CK HUTCHISON HOLDINGS LTD,HKD,0001.HK,2025-02-28,2025-06-25,463000.0
0142.HK,,FIRST PACIFIC CO,Personal,Equities,142 HK Equity,FIRST PACIFIC CO,HKD,0142.HK,2025-05-13,2025-06-25,33400.00004
0168.HK,,TSINGTAO BREWERY CO LTD-H,Personal,Equities,168 HK Equity,TSINGTAO BREWERY CO LTD-H,HKD,0168.HK,2025-06-02,2025-06-25,-34100.0
0823.HK,,LINK REIT,Personal,Equities,823 HK Equity,LINK REIT,HKD,0823.HK,2025-04-10,2025-06-25,226550.0
0883.HK,,CNOOC LTD-H,Personal,Equities,883 HK EQUITY,CNOOC LTD-H,HKD,0883.HK,2025-05-14,2025-06-25,10800.0
0939.HK,,CHINA CONSTRUCTION BANK-H,Personal,Equities,939 HK Equity,CHINA CONSTRUCTION BANK-H,HKD,0939.HK,2025-05-14,2025-06-25,140220.0
1810.HK,,XIAOMI CORP-CLASS B,Personal,Equities,1810 HK Equity,XIAOMI CORP-CLASS B,HKD,1810.HK,2025-05-13,2025-06-25,128800.0
2388.HK,,BOC HONG KONG HOLDINGS LTD,Personal,Equities,2388 HK EQUITY,BOC HONG KONG HOLDINGS LTD,HKD,2388.HK,2025-05-14,2025-06-25,98400.0
3606.HK,,FUYAO GLASS INDUSTRY GROUP-H,Personal,Equities,3606 HK Equity,FUYAO GLASS INDUSTRY GROUP-H,HKD,3606.HK,2025-05-21,2025-06-25,46060.0
6823.HK,,HKT TRUST AND HKT LTD-SS,Personal,Equities,6823 HK Equity,HKT TRUST AND HKT LTD-SS,HKD,6823.HK,2025-04-23,2025-06-25,47600.0
PROUD-W3.BK,,PROUD REAL ESTATE PCL-CW28,Sinowell,PE,PROUD-W3 TB EQUITY,PROUD REAL ESTATE PCL-CW28,THB,PROUD-W3.BK,2025-05-27,2025-07-04,1114889.41489628
3606.HK,,FUYAO GLASS INDUSTRY GROUP-H,FGI,Equities,3606 HK EQUITY,FUYAO GLASS INDUSTRY GROUP-H,HKD,3606.HK,2025-05-21,2025-08-20,139588.0
9988.HK,,ALIBABA GROUP HOLDING LTD,FGI,Equities,9988 HK Equity,ALIBABA GROUP HOLDING LTD,HKD,9988.HK,2025-01-01,2025-09-05,753800.34003558
0168.HK,,TSINGTAO BREWERY CO LTD-H,Sinowell,Equities,168 HK EQUITY,TSINGTAO BREWERY CO LTD-H,HKD,0168.HK,2025-06-19,2025-09-19,27979.99992
NOBLE-W3.BK,,NOBLE DEVELOPMENT PCL-CW27,FGI,PE,NOBLE-W3 TB EQUITY,NOBLE DEVELOPMENT PCL-CW27,THB,NOBLE-W3.BK,2025-05-27,2025-10-08,754852.5
0011-OL.HK,,HANG SENG BANK LTD,Sinowell,Equities,11 HK EQUITY,HANG SENG BANK LTD,HKD,0011-OL.HK,2025-09-19,2025-10-09,208494.0
7500.HK,,CSOP HANG SENG  INDEX  DAI-H,Sinowell,Equities,7500 HK EQUITY,CSOP HANG SENG  INDEX  DAI-H,HKD,7500.HK,2025-10-03,2025-10-21,127820.0
0168.HK,,TSINGTAO BREWERY CO LTD-H,FGI,Equities,168 HK EQUITY,TSINGTAO BREWERY CO LTD-H,HKD,0168.HK,2025-06-02,2025-11-25,6560.0
