date,portfolio,scope,cf_type,ticker,asset_class,currency,amount_local,fx_rate_to_usd,amount_usd
2025-01-01,FGI,equity_sub,BUY,0005.HK,Equities,HKD,-1604840.0,0.1288078725,-206716.0261029
2025-01-01,FGI,equity_sub,BUY,0388.HK,Equities,HKD,-1771364.0,0.1288078725,-228165.62826309
2025-01-01,FGI,equity_sub,BUY,0700.HK,Equities,HKD,-2674048.0,0.1288078725,-344438.43384288
2025-01-01,FGI,equity_sub,BUY,0728.HK,Equities,HKD,-1083300.0,0.1288078725,-139537.56827925
2025-01-01,FGI,equity_sub,BUY,0857.HK,Equities,HKD,-904500.0,0.1288078725,-116506.72067625
2025-01-01,FGI,equity_sub,BUY,0941.HK,Equities,HKD,-5367600.0,0.1288078725,-691389.136431
2025-01-01,FGI,equity_sub,BUY,2800.HK,Equities,HKD,-975905.64,0.1288078725,-125704.32924915
2025-01-01,FGI,equity_sub,BUY,3188.HK,Equities,HKD,-838400.0,0.1288078725,-107992.520304
2025-01-01,FGI,equity_sub,BUY,9988.HK,Equities,HKD,-1800469.8,0.1288078725,-231914.6844385
2025-02-04,FGI,equity_sub,SELL,9988.HK,Equities,HKD,1069750.0,0.1283169985,137267.10914538
2025-02-10,FGI,equity_sub,SELL,3188.HK,Equities,HKD,856800.0,0.1283641011,109982.36182248
2025-02-12,FGI,equity_sub,SELL,2800.HK,Equities,HKD,1077541.92,0.128341198,138293.02090802
2025-02-21,FGI,equity_sub,SELL,0700.HK,Equities,HKD,762750.0,0.1286071092,98095.0725423
2025-02-21,FGI,equity_sub,SELL,0941.HK,Equities,HKD,1561800.0,0.1286071092,200858.58314856
2025-02-28,FGI,equity_sub,BUY,0001.HK,Equities,HKD,-1564000.0,0.1285874248,-201110.7323872
2025-03-05,FGI,equity_sub,SELL,0001.HK,Equities,HKD,1858000.0,0.128660053,239050.378474
2025-03-05,FGI,equity_sub,SELL,0728.HK,Equities,HKD,690200.0,0.128660053,88801.1685806
2025-03-05,FGI,equity_sub,BUY,0857.HK,Equities,HKD,-783360.0,0.128660053,-100787.13911808
2025-03-14,FGI,equity_sub,SELL,0388.HK,Equities,HKD,778976.0,0.1286734641,100233.54037076
2025-03-14,FGI,equity_sub,SELL,0700.HK,Equities,HKD,788250.0,0.1286734641,101426.85807682
2025-03-14,FGI,equity_sub,SELL,9988.HK,Equities,HKD,708240.0,0.1286734641,91131.69421418
2025-03-18,FGI,equity_sub,BUY,0857.HK,Equities,HKD,-1575600.0,0.1286951602,-202772.09441112
2025-04-01,FGI,equity_sub,SELL,0857.HK,Equities,HKD,1741500.0,0.1285429597,223857.56431755
2025-05-14,FGI,equity_sub,BUY,0142.HK,Equities,HKD,-587240.0,0.1282570809,-75317.68818772
2025-05-14,FGI,equity_sub,BUY,0883.HK,Equities,HKD,-583440.0,0.1282570809,-74830.3112803
2025-05-14,FGI,equity_sub,BUY,0939.HK,Equities,HKD,-585650.0,0.1282570809,-75113.75942908
2025-05-14,FGI,equity_sub,BUY,1810.HK,Equities,HKD,-799200.0,0.1282570809,-102503.05905528
2025-05-14,FGI,equity_sub,BUY,2388.HK,Equities,HKD,-586800.0,0.1282570809,-75261.25507212
2025-05-14,FGI,equity_sub,BUY,6823.HK,Equities,HKD,-583440.0,0.1282570809,-74830.3112803
2025-05-14,FGI,equity_sub,BUY,9988.HK,Equities,HKD,-386400.0,0.1282570809,-49558.53605976
2025-05-21,FGI,equity_sub,BUY,0142.HK,Equities,HKD,-274500.0,0.1277400255,-35064.63699975
2025-05-21,FGI,equity_sub,BUY,0883.HK,Equities,HKD,-268500.0,0.1277400255,-34298.19684675
2025-05-21,FGI,equity_sub,BUY,0941.HK,Equities,HKD,-265050.0,0.1277400255,-33857.49375877
2025-05-21,FGI,equity_sub,BUY,1398.HK,Equities,HKD,-275380.0,0.1277400255,-35177.04822219
2025-05-21,FGI,equity_sub,BUY,2388.HK,Equities,HKD,-268000.0,0.1277400255,-34234.326834
2025-05-21,FGI,equity_sub,BUY,3606.HK,Equities,HKD,-766920.0,0.1277400255,-97966.38035646
2025-05-21,FGI,equity_sub,BUY,6823.HK,Equities,HKD,-278000.0,0.1277400255,-35511.727089
2025-06-02,FGI,equity_sub,BUY,0168.HK,Equities,HKD,-745640.0,0.1275168657,-95081.67574055
2025-06-02,FGI,equity_sub,BUY,1088.HK,Equities,HKD,-770400.0,0.1275168657,-98238.99333528
2025-07-22,FGI,equity_sub,SELL,0005.HK,Equities,HKD,678300.0,0.127398923,86414.6894709
2025-07-22,FGI,equity_sub,SELL,0142.HK,Equities,HKD,319800.0,0.127398923,40742.1755754
2025-07-22,FGI,equity_sub,SELL,0168.HK,Equities,HKD,212200.0,0.127398923,27034.0514606
2025-07-22,FGI,equity_sub,SELL,0388.HK,Equities,HKD,561860.0,0.127398923,71580.35887678
2025-07-22,FGI,equity_sub,SELL,0700.HK,Equities,HKD,577500.0,0.127398923,73572.8780325
2025-07-22,FGI,equity_sub,SELL,0728.HK,Equities,HKD,216980.0,0.127398923,27643.01831254
2025-07-22,FGI,equity_sub,SELL,0857.HK,Equities,HKD,686320.0,0.127398923,87436.42883336
2025-07-22,FGI,equity_sub,SELL,0883.HK,Equities,HKD,300480.0,0.127398923,38280.82838304
2025-07-22,FGI,equity_sub,SELL,0939.HK,Equities,HKD,230160.0,0.127398923,29322.13611768
