date,portfolio,scope,position_count,total_market_value_usd,total_cost_basis_usd,total_unrealized_pnl_usd,total_realized_pnl_usd,total_pnl_usd,daily_return_pct
2025-01-01,FGI,equity_sub,9,2228235.2872097,2192365.04758702,35870.23962268,0.0,35870.23962268,
2025-01-02,FGI,equity_sub,9,2191114.92593386,2191114.9346365,-0.00870264,0.0,-0.00870264,-0.01665909
2025-01-03,FGI,equity_sub,9,2192952.13577327,2188615.72315292,4336.41262036,0.0,4336.41262036,0.00083848
2025-01-04,FGI,equity_sub,9,2192952.13577327,2188615.72315292,4336.41262036,0.0,4336.41262036,0.0
2025-01-05,FGI,equity_sub,9,2192952.13577327,2188615.72315292,4336.41262036,0.0,4336.41262036,0.0
2025-01-06,FGI,equity_sub,9,2189409.2034153,2188404.7072976,1004.49611769,0.0,1004.49611769,-0.0016156
2025-01-07,FGI,equity_sub,9,2155772.64411884,2189035.21711782,-33262.57299898,0.0,-33262.57299898,-0.0153633
2025-01-08,FGI,equity_sub,9,2146391.40231025,2188711.33880815,-42319.93649789,0.0,-42319.93649789,-0.00435168
2025-01-09,FGI,equity_sub,9,2144929.62000588,2187946.1548558,-43016.53484993,0.0,-43016.53484993,-0.00068104
2025-01-10,FGI,equity_sub,9,2130237.77547391,2187122.38318814,-56884.60771422,0.0,-56884.60771422,-0.00684957
2025-01-11,FGI,equity_sub,9,2130237.77547391,2187122.38318814,-56884.60771422,0.0,-56884.60771422,0.0
2025-01-12,FGI,equity_sub,9,2130237.77547391,2187122.38318814,-56884.60771422,0.0,-56884.60771422,0.0
2025-01-13,FGI,equity_sub,9,2109052.24508841,2186001.61867799,-76949.37358959,0.0,-76949.37358959,-0.00994515
2025-01-14,FGI,equity_sub,9,2133810.55653486,2186302.16368367,-52491.6071488,0.0,-52491.6071488,0.01173907
2025-01-15,FGI,equity_sub,9,2139474.72084279,2185749.00830209,-46274.2874593,0.0,-46274.2874593,0.00265448
2025-01-16,FGI,equity_sub,9,2162087.58094824,2186299.37403563,-24211.79308739,0.0,-24211.79308739,0.01056935
2025-01-17,FGI,equity_sub,9,2159190.69748443,2185552.44959785,-26361.75211343,0.0,-26361.75211343,-0.00133985
2025-01-18,FGI,equity_sub,9,2159190.69748443,2185552.44959785,-26361.75211343,0.0,-26361.75211343,0.0
2025-01-19,FGI,equity_sub,9,2159190.69748443,2185552.44959785,-26361.75211343,0.0,-26361.75211343,0.0
2025-01-20,FGI,equity_sub,9,2190389.05731669,2186515.71558268,3873.341734,0.0,3873.341734,0.0144491
2025-01-21,FGI,equity_sub,9,2192140.16829151,2187577.8923775,4562.27591399,0.0,4562.27591399,0.00079945
2025-01-22,FGI,equity_sub,9,2172945.72193421,2186113.97392359,-13168.25198939,0.0,-13168.25198939,-0.00875603
2025-01-23,FGI,equity_sub,9,2169496.41581798,2185566.65314454,-16070.23732656,0.0,-16070.23732656,-0.00158739
2025-01-24,FGI,equity_sub,9,2201073.3028876,2185128.89796304,15944.40492455,0.0,15944.40492455,0.01455494
2025-01-25,FGI,equity_sub,9,2201073.3028876,2185128.89796304,15944.40492455,0.0,15944.40492455,0.0
2025-01-26,FGI,equity_sub,9,2201073.3028876,2185128.89796304,15944.40492455,0.0,15944.40492455,0.0
2025-01-27,FGI,equity_sub,9,2223124.50140807,2185538.50135756,37586.00005051,0.0,37586.00005051,0.01001838
2025-01-28,FGI,equity_sub,9,2229112.22746216,2185406.6168735,43705.61058866,0.0,43705.61058866,0.00269338
2025-01-29,FGI,equity_sub,9,2228574.13937593,2184879.07893725,43695.06043868,0.0,43695.06043868,-0.00024139
2025-01-30,FGI,equity_sub,9,2227944.98859969,2184262.26375295,43682.72484674,0.0,43682.72484674,-0.00028231
2025-01-31,FGI,equity_sub,9,2228116.76346097,2184430.6706702,43686.09279075,0.0,43686.09279075,7.71e-05
2025-02-01,FGI,equity_sub,9,2228116.76346097,2184430.6706702,43686.09279075,0.0,43686.09279075,0.0
2025-02-02,FGI,equity_sub,9,2228116.76346097,2184430.6706702,43686.09279075,0.0,43686.09279075,0.0
2025-02-03,FGI,equity_sub,9,2241819.66463832,2183516.86264343,58302.80199489,0.0,58302.80199489,0.00614999
2025-02-04,FGI,equity_sub,9,2152277.87147512,2069256.27052929,83021.60094584,22513.21738682,105534.81833267,-0.03994157
2025-02-05,FGI,equity_sub,9,2134556.6358918,2070930.42702606,63626.20886575,22531.43197421,86157.64083995,-0.00823371
2025-02-06,FGI,equity_sub,9,2149057.85288009,2071143.09033167,77914.76254843,22533.74572108,100448.50826951,0.00679355
2025-02-07,FGI,equity_sub,9,2172999.06955404,2071036.63853921,101962.43101483,22532.58754054,124495.01855537,0.01114033
2025-02-08,FGI,equity_sub,9,2172999.06955404,2071036.63853921,101962.43101483,22532.58754054,124495.01855537,0.0
2025-02-09,FGI,equity_sub,9,2172999.06955404,2071036.63853921,101962.43101483,22532.58754054,124495.01855537,0.0
2025-02-10,FGI,equity_sub,8,2105676.90133253,1962395.3906974,143281.51063514,22521.481538,165802.99217313,-0.03098122
2025-02-11,FGI,equity_sub,8,2102091.61552149,1962707.70979636,139383.90572513,22525.06587622,161908.97160136,-0.00170268
2025-02-12,FGI,equity_sub,7,2020697.51329875,1836796.35537451,183901.15792422,22517.4631891,206418.62111332,-0.03872053
2025-02-13,FGI,equity_sub,7,2012942.00793129,1837338.68182507,175603.32610621,22524.11162122,198127.43772743,-0.00383803
2025-02-14,FGI,equity_sub,7,2087593.45926084,1837676.06441864,249917.3948422,22528.24762688,272445.64246908,0.03708574
2025-02-15,FGI,equity_sub,7,2087593.45926084,1837676.06441864,249917.3948422,22528.24762688,272445.64246908,0.0
2025-02-16,FGI,equity_sub,7,2087593.45926084,1837676.06441864,249917.3948422,22528.24762688,272445.64246908,0.0
2025-02-17,FGI,equity_sub,7,2113177.52040837,1838922.79727047,274254.7231379,22543.53144483,296798.25458273,0.01225529
2025-02-18,FGI,equity_sub,7,2140056.79431699,1839537.42132003,300519.37299695,22551.06618017,323070.43917712,0.01271984
2025-02-19,FGI,equity_sub,7,2132363.36067759,1840890.78726255,291472.57341505,22567.65722343,314040.23063848,-0.00359497
2025-02-20,FGI,equity_sub,7,2097390.98100793,1840081.45517093,257309.525837,22557.73554348,279867.26138048,-0.01640076
2025-02-21,FGI,equity_sub,7,1907857.4567714,1575619.94128786,332237.51548354,56535.68520432,388773.20068786,-0.09036633
2025-02-22,FGI,equity_sub,7,1907857.4567714,1575619.94128786,332237.51548354,56535.68520432,388773.20068786,0.0
2025-02-23,FGI,equity_sub,7,1907857.4567714,1575619.94128786,332237.51548354,56535.68520432,388773.20068786,0.0
2025-02-24,FGI,equity_sub,7,1865198.6976174,1576854.96178925,288343.73582815,56579.9996538,344923.73548195,-0.02235951
2025-02-25,FGI,equity_sub,7,1834411.90024134,1575970.63946203,258441.26077932,56548.26879829,314989.52957759,-0.01650591
2025-02-26,FGI,equity_sub,7,1865714.12496621,1576106.46484981,289607.66011641,56553.14242368,346160.80254009,0.0170639
2025-02-27,FGI,equity_sub,7,1860551.46277203,1576146.99255312,284404.47021891,56554.59662048,340959.06683939,-0.00276712
2025-02-28,FGI,equity_sub,8,2019549.83377782,1776489.51178778,243060.32199004,56527.03194208,299587.35393212,0.08545766
